Country,date,type,value
Australia,10/07/2020,Daily ICU occupancy,16
Australia,10/07/2020,Daily ICU occupancy per million,0.611
Australia,10/07/2020,Daily hospital occupancy,55
Australia,10/07/2020,Daily hospital occupancy per million,2.101
Australia,11/07/2020,Daily ICU occupancy,17
Australia,11/07/2020,Daily ICU occupancy per million,0.649
Australia,11/07/2020,Daily hospital occupancy,67
Australia,11/07/2020,Daily hospital occupancy per million,2.559
Australia,12/07/2020,Daily ICU occupancy,18
Australia,12/07/2020,Daily ICU occupancy per million,0.688
Australia,12/07/2020,Daily hospital occupancy,92
Australia,12/07/2020,Daily hospital occupancy per million,3.514
Australia,13/07/2020,Daily ICU occupancy,27
Australia,13/07/2020,Daily ICU occupancy per million,1.031
Australia,13/07/2020,Daily hospital occupancy,90
Australia,13/07/2020,Daily hospital occupancy per million,3.438
Australia,14/07/2020,Daily ICU occupancy,28
Australia,14/07/2020,Daily ICU occupancy per million,1.07
Australia,14/07/2020,Daily hospital occupancy,111
Australia,14/07/2020,Daily hospital occupancy per million,4.24
Australia,15/07/2020,Daily ICU occupancy,30
Australia,15/07/2020,Daily ICU occupancy per million,1.146
Australia,15/07/2020,Daily hospital occupancy,114
Australia,15/07/2020,Daily hospital occupancy per million,4.355
Australia,16/07/2020,Daily ICU occupancy,32
Australia,16/07/2020,Daily ICU occupancy per million,1.222
Australia,16/07/2020,Daily hospital occupancy,126
Australia,16/07/2020,Daily hospital occupancy per million,4.813
Australia,17/07/2020,Daily ICU occupancy,26
Australia,17/07/2020,Daily ICU occupancy per million,0.993
Australia,17/07/2020,Daily hospital occupancy,115
Australia,17/07/2020,Daily hospital occupancy per million,4.393
Australia,18/07/2020,Daily ICU occupancy,29
Australia,18/07/2020,Daily ICU occupancy per million,1.108
Australia,18/07/2020,Daily hospital occupancy,135
Australia,18/07/2020,Daily hospital occupancy per million,5.157
Australia,19/07/2020,Daily ICU occupancy,33
Australia,19/07/2020,Daily ICU occupancy per million,1.261
Australia,19/07/2020,Daily hospital occupancy,156
Australia,19/07/2020,Daily hospital occupancy per million,5.959
Australia,20/07/2020,Daily ICU occupancy,38
Australia,20/07/2020,Daily ICU occupancy per million,1.452
Australia,20/07/2020,Daily hospital occupancy,182
Australia,20/07/2020,Daily hospital occupancy per million,6.953
Australia,21/07/2020,Daily ICU occupancy,42
Australia,21/07/2020,Daily ICU occupancy per million,1.604
Australia,21/07/2020,Daily hospital occupancy,214
Australia,21/07/2020,Daily hospital occupancy per million,8.175
Australia,22/07/2020,Daily ICU occupancy,41
Australia,22/07/2020,Daily ICU occupancy per million,1.566
Australia,22/07/2020,Daily hospital occupancy,211
Australia,22/07/2020,Daily hospital occupancy per million,8.06
